id,concept,difficulty,bloom_level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
q_tc_009,Type Casting,medium,apply,What does list('abc') return?,['abc'],['a','b','c'],'abc',Error,B,list() on a string creates a list of individual characters.
q_tc_010,Type Casting,easy,apply,What does bool([]) return?,True,False,[],Error,B,Empty list is falsy so bool([]) returns False.
q_io_001,Input Output,easy,apply,Which function reads user input?,read(),get(),input(),scan(),C,input() reads a line from standard input as a string.
q_io_002,Input Output,easy,apply,What does print('a', 'b', sep='-') output?,a b,a-b,ab,-ab,B,The sep parameter defines the separator between print arguments.
q_io_003,Input Output,easy,apply,What does print('hi', end='') do?,Adds newline after hi,Prints hi without newline,Raises error,Prints empty string,B,end='' replaces the default newline with nothing.
q_io_004,Input Output,easy,apply,"What is an f-string?",A file string,A formatted string literal,A function string,A fast string,B,f-strings (f'...{expr}...') are formatted string literals introduced in Python 3.6.
q_io_005,Input Output,easy,apply,What does print(f'{2+2}') output?,2+2,4,'4',{2+2},B,Expressions inside {} in f-strings are evaluated: 2+2=4.
q_io_006,Input Output,easy,apply,How do you print to stderr?,print(err),print(msg, file=sys.stderr),sys.print(msg),stderr.write(msg),B,Use file=sys.stderr to redirect print output to standard error.
q_io_007,Input Output,medium,apply,What does '{:.2f}'.format(3.14159) return?,'3.14','3.14159','3',Error,A,:.2f formats a float to 2 decimal places.
q_io_008,Input Output,easy,apply,What type does input() always return?,int,float,str,depends,C,input() always returns a string regardless of what the user types.
q_io_009,Input Output,medium,apply,What does print(*[1,2,3]) output?,123,[1,2,3],1 2 3,Error,C,*list unpacking passes list items as separate arguments to print.
q_io_010,Input Output,easy,apply,What does '{0} {1}'.format('a','b') return?,a b,b a,'a' 'b',Error,A,Positional format fields {0} and {1} are replaced in order.
q_cond_001,Conditional Statements,easy,apply,What keyword starts a conditional block?,when,check,if,cond,A,The if keyword starts a conditional statement in Python.
q_cond_002,Conditional Statements,easy,apply,Which keyword is used for an alternative condition?,else if,elif,elseif,otherwise,B,Python uses elif (not else if or elseif) for additional conditions.
q_cond_003,Conditional Statements,easy,apply,What does the ternary operator look like?,if x then y else z,y if x else z,x ? y : z,(x) y : z,B,Python's ternary is: value_if_true if condition else value_if_false.
q_cond_004,Conditional Statements,easy,apply,"What prints: x=5; print('big' if x>3 else 'small')?",small,big,Error,None,B,Since 5 > 3 is True the expression evaluates to 'big'.
q_cond_005,Conditional Statements,easy,understand,Can an if block have no else clause?,No,Yes,Only with elif,Only in functions,B,The else clause is entirely optional in Python conditionals.
q_cond_006,Conditional Statements,medium,apply,"What is printed: x=0; print('yes' if x else 'no')?",yes,no,0,Error,B,0 is falsy so the condition evaluates to False and prints 'no'.
q_cond_007,Conditional Statements,medium,apply,What does match-case require?,Python 2.7,Python 3.8,Python 3.10+,Any version,C,Structural pattern matching (match-case) was introduced in Python 3.10.
q_cond_008,Conditional Statements,easy,understand,Which values are falsy in Python?,0 only,'0' and 0,0, None, '', [], {}, False,Only False,C,Python considers 0, None, empty sequences/mappings, and False as falsy.
q_cond_009,Conditional Statements,easy,apply,"What prints: if True: print('A'); else: print('B')?",B,A,AB,Error,B,The condition is True so the if block executes printing 'A'.
q_cond_010,Conditional Statements,medium,apply,How do you check if x is between 1 and 10 inclusively?,x>1 and x<10,1<=x<=10,x in range(1,10),x between 1 and 10,B,Python supports chained comparison operators: 1<=x<=10.
q_nc_001,Nested Conditionals,medium,apply,What is a nested conditional?,An if inside a loop,An if inside another if,An if with multiple elif,An if with no else,B,A nested conditional is when one if statement appears inside another.
q_nc_002,Nested Conditionals,medium,apply,What is the dangling else problem?,An else with no if,When else matches the wrong if in indentation,A syntax error,An else on the same line,B,The dangling else problem occurs when it's unclear which if an else belongs to (Python solves this with indentation).
q_nc_003,Nested Conditionals,medium,apply,How do you flatten deeply nested conditions in Python?,Use more elif,Use logical operators and single conditions,Use loops,Use functions only,B,Combining conditions with and/or can eliminate nesting and improve readability.
q_nc_004,Nested Conditionals,medium,apply,What is the maximum nesting depth Python allows?,5,10,20,No limit (but limited by stack),D,Python has no hard limit on nesting depth though deep nesting hurts readability.
q_nc_005,Nested Conditionals,medium,analyze,Which refactoring reduces nested if-else?,Early return,Adding more conditions,Using global variables,Adding print statements,A,Early return (guard clauses) reduces nesting by returning immediately when conditions are met.
q_nc_006,Nested Conditionals,easy,apply,"What indentation does Python use for nested blocks?",Braces {},Semicolons,Consistent whitespace (spaces or tabs),Parentheses,C,Python uses indentation (spaces or tabs) to define nested blocks.
q_nc_007,Nested Conditionals,medium,apply,What is the correct indentation for a nested if?,Same level as outer,Deeper than outer,Shallower than outer,No indentation,B,Nested blocks must be indented deeper than the enclosing block.
q_nc_008,Nested Conditionals,medium,analyze,Why should deeply nested conditions be avoided?,They cause errors,They are slow,They reduce readability and maintainability,Python does not allow them,C,Deep nesting makes code harder to read; refactoring improves clarity.
q_nc_009,Nested Conditionals,medium,apply,"What prints: x=5;y=3; if x>3:\n if y<5: print('AB'); else: print('AC')?",AB,AC,Error,Nothing,A,x>3 is True and y<5 is True so the innermost branch prints 'AB'.
q_nc_010,Nested Conditionals,medium,apply,What can replace deeply nested conditions checking dict key absence?,Multiple if-elif,dict.get() with default,Nested try-except,Multiple variables,B,dict.get(key, default) avoids key-not-found nesting.
q_loop_001,Loops,easy,apply,Which loop iterates over a sequence?,do-while,for,repeat,scan,B,The for loop iterates over any iterable in Python.
q_loop_002,Loops,easy,apply,What does range(5) produce?,0 to 5,0 to 4,1 to 5,1 to 4,B,range(5) generates integers 0 through 4 (exclusive end).
q_loop_003,Loops,easy,apply,What does while True: mean?,Runs once,Infinite loop,Syntax error,Runs while True is defined,B,while True creates an infinite loop that runs until a break or exception.
q_loop_004,Loops,easy,apply,What does enumerate() do?,Counts items,Returns (index, value) pairs,Creates a range,Reverses a list,B,enumerate() wraps an iterable and yields (index, value) tuples.
q_loop_005,Loops,easy,apply,What does zip([1,2],[3,4]) produce?,[(1,2),(3,4)],[(1,3),(2,4)],[1,2,3,4],Error,B,zip() pairs elements from multiple iterables: (1,3) and (2,4).
q_loop_006,Loops,medium,apply,"What prints: for i in range(2,6,2): print(i)?",2 4,2 4 6,2 3 4 5,4 6,A,range(2,6,2) generates 2 and 4 (step of 2 stopping before 6).
q_loop_007,Loops,easy,apply,How do you loop over a dict's keys and values?,for k in d,for k,v in d.items(),for k,v in d,for k in d.values(),B,dict.items() returns key-value pairs for iteration.
q_loop_008,Loops,easy,apply,What does a for-else structure mean?,else runs if loop completes without break,else always runs,else never runs,Syntax error,A,The else clause on a loop runs if the loop completes without hitting a break.
q_loop_009,Loops,medium,apply,"How many times does this print? i=0; while i<3: i+=1; print(i)",2,3,4,Infinite,B,i goes 1, 2, 3 and the loop exits when i reaches 3, printing 3 times.
q_loop_010,Loops,medium,apply,What is the output of list(range(3,0,-1))?,[-1,-2,-3],[3,2,1],[0,1,2,3],[1,2,3],B,range(3,0,-1) counts down: 3, 2, 1.
q_lc_001,Loop Control,easy,apply,What does break do in a loop?,Skips current iteration,Exits the loop entirely,Restarts the loop,Pauses the loop,B,break immediately exits the nearest enclosing loop.
q_lc_002,Loop Control,easy,apply,What does continue do?,Exits the loop,Skips to the next iteration,Restarts from beginning,Does nothing,B,continue skips the rest of the current loop body and advances to the next iteration.
q_lc_003,Loop Control,easy,apply,What does pass do?,Skips the loop,Exits the function,Does nothing (placeholder),Raises an error,C,pass is a no-op placeholder used where a statement is syntactically required.
q_lc_004,Loop Control,easy,apply,"What prints: for i in range(5):\n if i==3: break\n print(i)?",0 1 2,0 1 2 3,0 1 2 3 4,3,A,The loop prints 0, 1, 2 then breaks when i==3.
q_lc_005,Loop Control,easy,apply,"What prints: for i in range(4):\n if i==2: continue\n print(i)?",0 1 3,0 1 2 3,1 2 3,2,A,continue skips printing when i==2 so output is 0, 1, 3.
q_lc_006,Loop Control,medium,apply,When does the else clause of a for loop NOT run?,Always runs,When break is hit,When continue is hit,When loop is empty,B,The else clause is skipped when a break statement exits the loop.
q_lc_007,Loop Control,easy,understand,What is pass used for?,Breaking a loop,A comment,A placeholder in empty blocks,Infinite loops,C,pass allows you to write an empty block that is syntactically valid.
q_lc_008,Loop Control,medium,apply,"Does 'for i in []: pass' raise an error?",Yes,No - runs 0 times,Yes - empty list error,Only in Python 2,B,Iterating over an empty iterable is valid; the loop body runs zero times.
q_lc_009,Loop Control,medium,apply,Can break be used in a while loop?,No,Yes,Only if the loop has a condition,Only in nested loops,B,break works in both for and while loops.
q_lc_010,Loop Control,easy,understand,What does the pass statement return?,None,False,0,Nothing - it's a no-op,D,pass is a no-operation statement; it returns nothing.
q_fn_001,Functions,easy,apply,Which keyword defines a function in Python?,function,def,func,define,B,def is the keyword used to define a function.
q_fn_002,Functions,easy,apply,What does a function return without a return statement?,0,None,False,Error,B,A function with no return statement (or bare return) returns None.
q_fn_003,Functions,easy,apply,What is a docstring?,A comment inside a function,A string literal as the first statement of a function,A type hint,A return value,B,A docstring is a string literal at the start of a function/class/module describing its purpose.
q_fn_004,Functions,easy,apply,Are functions first-class objects in Python?,No,Yes,Only built-ins,Only lambdas,B,Functions are first-class objects: they can be assigned to variables and passed as arguments.
q_fn_005,Functions,medium,apply,"What is the scope of a variable inside a function?",Global,Local,Module,Universal,B,Variables defined inside a function have local scope by default.
q_fn_006,Functions,medium,apply,How do you access a global variable inside a function?,Just use it for write,Use the global keyword before modifying,Use outer(),Pass as parameter only,B,Use global x before modifying a module-level variable inside a function.
q_fn_007,Functions,medium,apply,"What prints: def f(x): return x*2; print(f(3))?",3,6,f(3),Error,B,f(3) calls the function with x=3 and returns 3*2=6.
q_fn_008,Functions,easy,understand,Can a function call itself?,No,Yes,Only once,Only with recursion keyword,B,A function that calls itself is called recursive; Python supports this.
q_fn_009,Functions,easy,apply,What is returned by: def f(): pass; result = f()?,0,None,Error,'',B,A function with no return statement returns None.
q_fn_010,Functions,medium,apply,What does help(func) show?,Source code,The docstring,Error,Type information,B,help() displays the docstring and signature of a function.
q_fa_001,Function Arguments,medium,apply,What does *args capture?,Keyword arguments,Positional arguments as a tuple,A list,Required arguments,B,*args captures extra positional arguments as a tuple.
q_fa_002,Function Arguments,medium,apply,What does **kwargs capture?,Positional arguments,Keyword arguments as a dict,A set,Required keyword arguments,B,**kwargs captures extra keyword arguments as a dictionary.
q_fa_003,Function Arguments,easy,apply,What is a default parameter?,One required,One with a default value,One that can't be changed,One defined globally,B,A default parameter has a pre-set value used when the argument is not provided.
q_fa_004,Function Arguments,medium,apply,What is a keyword-only argument?,After *args in a function signature,Before positional args,Inside **kwargs,A lambda argument,A,Arguments defined after *args (or after a bare *) can only be passed by keyword.
q_fa_005,Function Arguments,medium,apply,"What prints: def f(a, b=5): return a+b; print(f(3))?",3,5,8,Error,C,a=3 and b defaults to 5; 3+5=8.
q_fa_006,Function Arguments,medium,apply,What is the correct order of arguments?,kwargs then args,args then kwargs then defaults,positional then default then *args then **kwargs,All orders are valid,C,Python enforces: positional, default, *args, keyword-only, **kwargs ordering.
q_fa_007,Function Arguments,medium,apply,"What does def f(*, x): do?",Makes x optional,Forces x to be keyword-only,Makes x positional,Error,B,A bare * separator forces all following arguments to be keyword-only.
q_fa_008,Function Arguments,easy,understand,Can you use mutable defaults like lists in Python?,Yes safely,No - they are shared across calls,Only as **kwargs,Only with type hints,B,Mutable default arguments are shared across all calls - use None as default and create inside the function.
q_fa_009,Function Arguments,medium,apply,"What prints: def f(**k): print(k); f(x=1,y=2)?",{'x':1,'y':2},(1,2),x y,Error,A,**kwargs collects keyword arguments into a dict.
q_fa_010,Function Arguments,medium,apply,"What does def f(a,/,b): mean?",a is keyword-only,a is positional-only,b is positional-only,Error,B,The / marker makes all preceding parameters positional-only.
q_lam_001,Lambda Functions,medium,apply,What is a lambda function?,A named function,An anonymous one-line function,A decorator,A generator,B,Lambda creates an anonymous function: lambda args: expression.
q_lam_002,Lambda Functions,medium,apply,How many expressions can a lambda have?,Unlimited,Exactly one,Zero,Two,B,A lambda body is a single expression (not a block of statements).
q_lam_003,Lambda Functions,medium,apply,"What does (lambda x: x*2)(5) return?",5,10,25,Error,B,The lambda is immediately called with 5: 5*2=10.
q_lam_004,Lambda Functions,medium,apply,"What does sorted([3,1,2], key=lambda x: -x) return?",[1,2,3],[3,2,1],[1,3,2],Error,B,Sorting with key=lambda x: -x reverses the natural order.
q_lam_005,Lambda Functions,medium,apply,"What does list(map(lambda x: x**2, [1,2,3])) return?",[1,2,3],[2,4,6],[1,4,9],Error,C,map applies the lambda to each element: 1, 4, 9.
q_lam_006,Lambda Functions,medium,apply,"What does list(filter(lambda x: x>2, [1,2,3,4])) return?",[1,2],[3,4],[2,3,4],Error,B,filter keeps only elements where the lambda returns True: 3 and 4.
q_lam_007,Lambda Functions,easy,understand,Can a lambda have a default argument?,No,Yes,Only in Python 3.10+,Only with *args,B,Lambda supports default arguments: lambda x, y=5: x + y.
q_lam_008,Lambda Functions,medium,apply,What is the reduce function used with lambdas for?,Filtering,Mapping,Combining all elements to one value,Sorting,C,functools.reduce applies a function cumulatively to reduce an iterable to a single value.
q_lam_009,Lambda Functions,medium,apply,What does lambda return if no expression is given?,None,0,Error,Empty lambda,C,A lambda must have an expression; lambda: is a syntax error without one.
q_lam_010,Lambda Functions,medium,analyze,When should you prefer a named function over lambda?,Never,When the logic is multi-line or complex,When performance matters,When using built-ins,B,Named functions are preferred for complex logic; lambdas suit simple one-liners.
q_rec_001,Recursion,hard,analyze,What is the base case in recursion?,The recursive call,The condition that stops recursion,The initial call,The return value,B,The base case is the condition that terminates recursion to prevent infinite calls.
q_rec_002,Recursion,hard,analyze,What happens without a base case?,Runs faster,Infinite recursion leading to RecursionError,Returns None,Compiles slowly,B,Without a base case the function calls itself indefinitely until Python raises RecursionError.
q_rec_003,Recursion,hard,analyze,What is Python's default recursion limit?,100,500,1000,Unlimited,C,Python's default recursion limit is 1000 (accessible via sys.getrecursionlimit()).
q_rec_004,Recursion,hard,apply,"What does factorial(0) return in a standard recursive factorial?",0,1,Error,None,B,By convention and mathematical definition 0! = 1 (base case).
q_rec_005,Recursion,hard,analyze,What is the call stack?,Memory for variables,Stack of active function frames,Heap memory,A list of imports,B,The call stack tracks active function calls; each recursive call adds a new frame.
q_rec_006,Recursion,hard,analyze,What is tail recursion?,A loop,A recursive call as the last operation of the function,A base case,A built-in optimization,B,Tail recursion means the recursive call is the final action; Python does not optimize it but it's a cleaner pattern.
q_rec_007,Recursion,hard,apply,How can recursion be optimized to avoid recomputation?,Increase stack limit,Use memoization (caching results),Use larger base case,Use global variables,B,Memoization caches previously computed results to avoid redundant recursive calls.
q_rec_008,Recursion,hard,analyze,"What prints: def f(n): return 1 if n<=1 else n*f(n-1); print(f(4))?",4,12,24,Error,C,f(4) = 4*f(3) = 4*3*f(2) = 4*3*2*f(1) = 4*3*2*1 = 24.
q_rec_009,Recursion,medium,analyze,What data structure is analogous to the recursion call stack?,Queue,Stack,Tree,Graph,B,Recursion uses the call stack (LIFO) just like an explicit stack data structure.
q_rec_010,Recursion,hard,apply,How do you apply memoization in Python?,@cache or @lru_cache from functools,global dict,Using recursion twice,Increasing recursion limit,A,functools.lru_cache or functools.cache decorators add memoization.
q_eh_001,Exception Handling,medium,apply,Which block catches exceptions?,try,except,finally,catch,B,The except block defines how to handle exceptions raised in the try block.
q_eh_002,Exception Handling,medium,apply,What does the finally block do?,Runs only on error,Runs only on success,Always runs after try/except,Skips on error,C,finally always executes whether an exception occurred or not.
q_eh_003,Exception Handling,medium,apply,How do you raise an exception manually?,throw Exception(),raise Exception(),error Exception(),raise(Exception),B,raise is Python's keyword to throw an exception.
q_eh_004,Exception Handling,medium,apply,What does the else clause in try/except do?,Runs on error,Runs when no exception occurs,Runs always,Runs before try,B,The else clause runs if the try block completed without raising an exception.
q_eh_005,Exception Handling,medium,apply,"What exception is raised for: int('abc')?",TypeError,ValueError,AttributeError,SyntaxError,B,int() on a non-numeric string raises ValueError.
q_eh_006,Exception Handling,medium,apply,How do you access the exception object?,except e,except Error as e,except as e,catch e,B,Use except ExceptionType as e to bind the exception to a variable.
q_eh_007,Exception Handling,medium,apply,Can you catch multiple exceptions in one except?,No,Yes with tuple: except (A, B),Yes but only two,Only in Python 3,B,You can catch multiple types: except (ValueError, TypeError) as e.
q_eh_008,Exception Handling,medium,apply,What base class do all built-in exceptions inherit from?,Exception,BaseException,Error,RuntimeError,B,BaseException is the root of Python's exception hierarchy; Exception is its main subclass.
q_eh_009,Exception Handling,medium,apply,What does assert x > 0 raise when x=0?,ValueError,AssertionError,RuntimeError,TypeError,B,assert raises AssertionError when the condition is False.
q_eh_010,Exception Handling,medium,apply,How do you re-raise the current exception?,raise e,raise,throw,reraise(),B,A bare raise inside an except block re-raises the current exception.
q_ce_001,Custom Exceptions,medium,create,How do you create a custom exception?,class MyError(Exception): pass,def MyError(): raise,MyError = Exception(),class MyError: pass,A,Custom exceptions inherit from Exception (or a subclass) using the class keyword.
q_ce_002,Custom Exceptions,medium,create,What method should custom exceptions override for a custom message?,__repr__,__str__,__message__,__error__,B,Override __str__ to provide a meaningful string representation for the exception.
q_ce_003,Custom Exceptions,medium,create,What is exception chaining?,Nesting exceptions in try blocks,raise ExcA from ExcB,Catching multiple exceptions,Using finally,B,raise ExcA from ExcB chains exceptions to show that one caused the other.
q_ce_004,Custom Exceptions,medium,create,What does raise ValueError from None do?,Suppresses the original exception context,Raises ValueError only,Raises None,Error,A,from None suppresses the chained exception context.
q_ce_005,Custom Exceptions,medium,create,Can custom exceptions have additional attributes?,No,Yes,Only one attribute,Only if it inherits from RuntimeError,B,Custom exceptions can have any attributes you add in __init__.
q_ce_006,Custom Exceptions,medium,create,What is a good naming convention for exceptions?,my_error,MyError,MY_ERROR,ErrorMy,B,By convention exception classes end with 'Error' and use PascalCase.
q_ce_007,Custom Exceptions,medium,create,How do you call the parent class __init__ in a custom exception?,parent.__init__,super().__init__,Exception.__init__,base(),B,super().__init__() calls the parent class constructor.
q_ce_008,Custom Exceptions,medium,analyze,Why create custom exceptions?,For performance,To represent domain-specific error conditions,To avoid try-except,To skip error handling,B,Custom exceptions let you represent errors specific to your application domain clearly.
q_ce_009,Custom Exceptions,medium,create,Can a custom exception inherit from another custom exception?,No,Yes,Only 2 levels,Only in Python 3.10+,B,Custom exceptions can form their own inheritance hierarchy.
q_ce_010,Custom Exceptions,medium,create,What does e.__cause__ hold?,The exception message,The exception that was chained with raise ... from,The traceback,None always,B,__cause__ holds the explicit cause from raise ExcA from ExcB.
q_cm_001,Context Managers,medium,apply,What keyword is used with context managers?,with,context,manage,open,A,The with statement is used to enter a context manager.
q_cm_002,Context Managers,medium,apply,What method is called when entering a with block?,__init__,__enter__,__start__,__open__,B,The __enter__ method is called when the with block is entered.
q_cm_003,Context Managers,medium,apply,What method is called when exiting a with block?,__exit__,__close__,__end__,__finally__,A,The __exit__ method is called on exit; it receives exception info if one occurred.
q_cm_004,Context Managers,medium,apply,What does contextlib.contextmanager do?,Creates a class-based context manager,Turns a generator function into a context manager,Opens files,Handles exceptions,B,@contextmanager lets you write a context manager as a generator with yield.
q_cm_005,Context Managers,medium,apply,What happens to a file opened with 'with open()' on exit?,Must be closed manually,Automatically closed,Stays open,Raises an error,B,The file's __exit__ method is called automatically closing the file.
q_cm_006,Context Managers,medium,apply,Can you use multiple context managers in one with statement?,No,Yes: with A() as a, B() as b,Only in Python 3.10+,Yes but with extra code,B,Multiple context managers can be listed in a single with statement with commas.
q_cm_007,Context Managers,medium,apply,"What does __exit__ return True for?",Re-raising the exception,Suppressing the exception,Logging,Nothing,B,If __exit__ returns True the exception is suppressed; False re-raises it.
q_cm_008,Context Managers,medium,analyze,What is the purpose of a context manager?,Replace loops,Manage resource acquisition and release safely,Speed up code,Replace decorators,B,Context managers ensure resources are properly acquired and released even if errors occur.
q_cm_009,Context Managers,medium,apply,What module provides suppress() context manager?,os,contextlib,sys,builtins,B,contextlib.suppress(ExcType) suppresses the given exception type.
q_cm_010,Context Managers,medium,apply,Can a context manager suppress an exception?,No,Yes - return True from __exit__,Only for ValueError,Only with try-except,B,Returning a truthy value from __exit__ suppresses the exception.
q_lst_001,Lists,easy,apply,How do you create an empty list?,list(),{},(),set(),A,list() or [] creates an empty list.
q_lst_002,Lists,easy,apply,How do you access the last element of a list?,list[-1],list[last],list.end(),list[0],A,Negative indices count from the end: list[-1] is the last element.
q_lst_003,Lists,easy,apply,What does list.append(x) do?,Adds x at position 0,Adds x at the end,Removes x,Replaces first element,B,append() adds an element to the end of a list.
q_lst_004,Lists,easy,apply,What does list.pop() return?,None,The first element,The last element,A random element,C,pop() with no argument removes and returns the last element.
q_lst_005,Lists,easy,apply,What does list[1:4] return?,Elements at indices 1,2,3,4,Elements at indices 1,2,3,Elements at indices 2,3,Error,B,Slicing [1:4] returns indices 1, 2, 3 (stop is exclusive).
q_lst_006,Lists,easy,apply,What does len([1,2,3]) return?,2,3,4,Error,B,len() returns the number of elements: 3.
q_lst_007,Lists,medium,apply,What does list.extend([4,5]) do?,Adds a nested list,Adds each element individually,Replaces the list,Error,B,extend() adds all elements from the iterable to the list individually.
q_lst_008,Lists,medium,apply,What does list.sort(reverse=True) do?,Sorts ascending,Sorts descending,Returns sorted copy,Error,B,sort(reverse=True) sorts the list in descending order in-place.
q_lst_009,Lists,medium,apply,What does list[::2] return?,Every element,Every other element,First 2 elements,Last 2 elements,B,Step slice [::2] returns every second element starting from index 0.
q_lst_010,Lists,medium,apply,What is the difference between list.sort() and sorted()?,Same thing,sort() is in-place sorted() returns new list,sorted() is in-place,No difference in Python 3,B,list.sort() modifies in place and returns None; sorted() returns a new sorted list.
q_tup_001,Tuples,easy,understand,Which of these creates a tuple?,{1,2,3},[1,2,3],(1,2,3),tuple,C,Parentheses with comma-separated values create a tuple.
q_tup_002,Tuples,easy,understand,Are tuples mutable?,Yes,No,Only in Python 2,Only if nested,B,Tuples are immutable; you cannot modify elements after creation.
q_tup_003,Tuples,easy,understand,How do you create a single-element tuple?,('a'),'a',('a',),(a),C,A trailing comma is required for a single-element tuple: ('a',).
q_tup_004,Tuples,easy,apply,What does tuple unpacking look like?,a = t[0]; b = t[1],a,b = t,(a,b) = t,Both B and C,D,Both a,b = t and (a,b) = t are valid tuple unpacking syntax.
q_tup_005,Tuples,easy,understand,What is the difference between tuple and list?,Tuples are mutable,Tuples are immutable and generally faster,Lists are immutable,No difference,B,Tuples are immutable and have slightly less overhead than lists.
